EMPLOYEE_ID,PROJECT_ID,HOURS_WORKED
1,1,81
1,7,61
2,2,82
2,8,62
3,3,83
3,9,63
4,4,84
4,10,64
5,5,85
5,11,65
6,6,86
6,12,66
7,7,87
7,13,67
8,8,88
8,14,68
9,9,89
9,15,69
10,10,90
10,16,70
11,11,91
11,17,71
12,12,92
12,18,72
13,13,93
13,19,73
14,14,94
14,20,74
15,15,95
15,1,75
16,16,96
16,2,76
17,17,97
17,3,77
18,18,98
18,4,78
19,19,99
19,5,79
20,20,100
20,6,80
21,1,101
21,7,81
22,2,102
22,8,82
23,3,103
23,9,83
24,4,104
24,10,84
25,5,105
25,11,85
26,6,106
26,12,86
27,7,107
27,13,87
28,8,108
28,14,88
29,9,109
29,15,89
30,10,110
30,16,90
31,11,111
31,17,91
32,12,112
32,18,92
33,13,113
33,19,93
34,14,114
34,20,94
35,15,115
35,1,95
36,16,116
36,2,96
37,17,117
37,3,97
38,18,118
38,4,98
39,19,119
39,5,99
40,20,120
40,6,100
41,1,121
41,7,101
42,2,122
42,8,102
43,3,123
43,9,103
44,4,124
44,10,104
45,5,125
45,11,105
46,6,126
46,12,106
47,7,127
47,13,107
48,8,128
48,14,108
49,9,129
49,15,109
50,10,130
50,16,110
