PROJECT_ID,PROJECT_NAME,BUDGET,DEPARTMENT_ID
1,Project_1,250000,1
2,Project_2,400000,2
3,Project_3,550000,3
4,Project_4,700000,4
5,Project_5,850000,5
6,Project_6,1000000,6
7,Project_7,1150000,7
8,Project_8,1300000,8
9,Project_9,1450000,9
10,Project_10,1600000,10
11,Project_11,1750000,1
12,Project_12,1900000,2
13,Project_13,2050000,3
14,Project_14,2200000,4
15,Project_15,2350000,5
16,Project_16,2500000,6
17,Project_17,2650000,7
18,Project_18,2800000,8
19,Project_19,2950000,9
20,Project_20,3100000,10
